PERIODO,RUBRO,TIPO_PRESTACION,BARRIO,total
201301,ACTOS DE CORRUPCION,DENUNCIA,ALMAGRO,1
201301,ACTOS DE CORRUPCION,DENUNCIA,BARRACAS,2
201301,ACTOS DE CORRUPCION,DENUNCIA,BELGRANO,1
201301,ACTOS DE CORRUPCION,DENUNCIA,BOCA,1
201301,ACTOS DE CORRUPCION,DENUNCIA,BOEDO,1
201301,ACTOS DE CORRUPCION,DENUNCIA,CABALLITO,1
201301,ACTOS DE CORRUPCION,DENUNCIA,CHACARITA,1
201301,ACTOS DE CORRUPCION,DENUNCIA,CONSTITUCION,2
201301,ACTOS DE CORRUPCION,DENUNCIA,FLORES,1
201301,ACTOS DE CORRUPCION,DENUNCIA,LINIERS,1
201301,ACTOS DE CORRUPCION,DENUNCIA,MONSERRAT,2
201301,ACTOS DE CORRUPCION,DENUNCIA,PALERMO,4
201301,ACTOS DE CORRUPCION,DENUNCIA,PARQUE CHACABUCO,1
201301,ACTOS DE CORRUPCION,DENUNCIA,PARQUE PATRICIOS,4
201301,ACTOS DE CORRUPCION,DENUNCIA,PATERNAL,1
201301,ACTOS DE CORRUPCION,DENUNCIA,SAN NICOLAS,3
201301,ACTOS DE CORRUPCION,DENUNCIA,VILLA CRESPO,2
201301,ACTOS DE CORRUPCION,DENUNCIA,VILLA DEL PARQUE,1
201301,ACTOS DE CORRUPCION,DENUNCIA,VILLA LURO,2
201301,ACTOS DE CORRUPCION,DENUNCIA,VILLA PUEYRREDON,1
201301,ACTOS DE CORRUPCION,DENUNCIA,VILLA URQUIZA,1
201301,ALBERGUE TRANSITORIO,DENUNCIA,MONSERRAT,2
201301,ALUMBRADO,RECLAMO,AGRONOMIA,38
201301,ALUMBRADO,RECLAMO,ALMAGRO,130
201301,ALUMBRADO,RECLAMO,BALVANERA,66
201301,ALUMBRADO,RECLAMO,BARRACAS,118
201301,ALUMBRADO,RECLAMO,BELGRANO,71
201301,ALUMBRADO,RECLAMO,BOCA,50
201301,ALUMBRADO,RECLAMO,BOEDO,52
201301,ALUMBRADO,RECLAMO,CABALLITO,178
201301,ALUMBRADO,RECLAMO,CHACARITA,54
201301,ALUMBRADO,RECLAMO,COGHLAN,26
201301,ALUMBRADO,RECLAMO,COLEGIALES,31
201301,ALUMBRADO,RECLAMO,CONSTITUCION,27
201301,ALUMBRADO,RECLAMO,FLORES,248
201301,ALUMBRADO,RECLAMO,FLORESTA,111
201301,ALUMBRADO,RECLAMO,LINIERS,153
201301,ALUMBRADO,RECLAMO,MATADEROS,175
201301,ALUMBRADO,RECLAMO,MONSERRAT,15
201301,ALUMBRADO,RECLAMO,MONTE CASTRO,100
201301,ALUMBRADO,RECLAMO,NUÑEZ,36
201301,ALUMBRADO,RECLAMO,NUEVA POMPEYA,135
201301,ALUMBRADO,RECLAMO,PALERMO,74
201301,ALUMBRADO,RECLAMO,PARQUE AVELLANEDA,111
201301,ALUMBRADO,RECLAMO,PARQUE CHACABUCO,134
201301,ALUMBRADO,RECLAMO,PARQUE CHAS,42
201301,ALUMBRADO,RECLAMO,PARQUE PATRICIOS,72
201301,ALUMBRADO,RECLAMO,PATERNAL,26
201301,ALUMBRADO,RECLAMO,PUERTO MADERO,1
201301,ALUMBRADO,RECLAMO,RECOLETA,53
201301,ALUMBRADO,RECLAMO,RETIRO,15
201301,ALUMBRADO,RECLAMO,SAAVEDRA,92
201301,ALUMBRADO,RECLAMO,SAN CRISTOBAL,72
201301,ALUMBRADO,RECLAMO,SAN NICOLAS,22
201301,ALUMBRADO,RECLAMO,SAN TELMO,24
201301,ALUMBRADO,RECLAMO,VELEZ SARSFIELD,104
201301,ALUMBRADO,RECLAMO,VERSALLES,26
201301,ALUMBRADO,RECLAMO,VILLA CRESPO,137
201301,ALUMBRADO,RECLAMO,VILLA DEL PARQUE,87
201301,ALUMBRADO,RECLAMO,VILLA DEVOTO,140
201301,ALUMBRADO,RECLAMO,VILLA GRAL. MITRE,45
201301,ALUMBRADO,RECLAMO,VILLA LUGANO,131
201301,ALUMBRADO,RECLAMO,VILLA LURO,76
201301,ALUMBRADO,RECLAMO,VILLA ORTUZAR,41
201301,ALUMBRADO,RECLAMO,VILLA PUEYRREDON,60
201301,ALUMBRADO,RECLAMO,VILLA REAL,32
201301,ALUMBRADO,RECLAMO,VILLA RIACHUELO,19
201301,ALUMBRADO,RECLAMO,VILLA SANTA RITA,66
201301,ALUMBRADO,RECLAMO,VILLA SOLDATI,47
201301,ALUMBRADO,RECLAMO,VILLA URQUIZA,103
201301,ALUMBRADO,SOLICITUD,AGRONOMIA,1
201301,ALUMBRADO,SOLICITUD,ALMAGRO,7
201301,ALUMBRADO,SOLICITUD,BALVANERA,3
201301,ALUMBRADO,SOLICITUD,BARRACAS,6
201301,ALUMBRADO,SOLICITUD,BELGRANO,11
201301,ALUMBRADO,SOLICITUD,BOCA,5
201301,ALUMBRADO,SOLICITUD,BOEDO,3
201301,ALUMBRADO,SOLICITUD,CABALLITO,9
201301,ALUMBRADO,SOLICITUD,CHACARITA,1
201301,ALUMBRADO,SOLICITUD,COGHLAN,2
201301,ALUMBRADO,SOLICITUD,COLEGIALES,3
201301,ALUMBRADO,SOLICITUD,CONSTITUCION,1
201301,ALUMBRADO,SOLICITUD,FLORES,15
201301,ALUMBRADO,SOLICITUD,FLORESTA,7
201301,ALUMBRADO,SOLICITUD,LINIERS,5
201301,ALUMBRADO,SOLICITUD,MATADEROS,4
201301,ALUMBRADO,SOLICITUD,MONSERRAT,1
201301,ALUMBRADO,SOLICITUD,MONTE CASTRO,3
201301,ALUMBRADO,SOLICITUD,NUÑEZ,4
201301,ALUMBRADO,SOLICITUD,NUEVA POMPEYA,6
201301,ALUMBRADO,SOLICITUD,PALERMO,8
201301,ALUMBRADO,SOLICITUD,PARQUE AVELLANEDA,2
201301,ALUMBRADO,SOLICITUD,PARQUE CHACABUCO,3
201301,ALUMBRADO,SOLICITUD,PARQUE PATRICIOS,3
201301,ALUMBRADO,SOLICITUD,PATERNAL,2
201301,ALUMBRADO,SOLICITUD,RECOLETA,7
201301,ALUMBRADO,SOLICITUD,RETIRO,1
201301,ALUMBRADO,SOLICITUD,SAAVEDRA,7
201301,ALUMBRADO,SOLICITUD,SAN CRISTOBAL,2
201301,ALUMBRADO,SOLICITUD,SAN TELMO,2
201301,ALUMBRADO,SOLICITUD,VELEZ SARSFIELD,7
201301,ALUMBRADO,SOLICITUD,VILLA CRESPO,7
201301,ALUMBRADO,SOLICITUD,VILLA DEL PARQUE,8
201301,ALUMBRADO,SOLICITUD,VILLA DEVOTO,6
201301,ALUMBRADO,SOLICITUD,VILLA GRAL. MITRE,3
201301,ALUMBRADO,SOLICITUD,VILLA LUGANO,6
201301,ALUMBRADO,SOLICITUD,VILLA LURO,3
201301,ALUMBRADO,SOLICITUD,VILLA SANTA RITA,6
201301,ALUMBRADO,SOLICITUD,VILLA SOLDATI,3
201301,ALUMBRADO,SOLICITUD,VILLA URQUIZA,7
201301,ANGARES / GUARDA DE EMBARCACIONES,DENUNCIA,SAN NICOLAS,1
201301,ARBOLADO,RECLAMO,AGRONOMIA,11
201301,ARBOLADO,RECLAMO,ALMAGRO,58
201301,ARBOLADO,RECLAMO,BALVANERA,30
201301,ARBOLADO,RECLAMO,BARRACAS,32
201301,ARBOLADO,RECLAMO,BELGRANO,50
201301,ARBOLADO,RECLAMO,BOCA,10
201301,ARBOLADO,RECLAMO,BOEDO,46
201301,ARBOLADO,RECLAMO,CABALLITO,128
201301,ARBOLADO,RECLAMO,CHACARITA,29
201301,ARBOLADO,RECLAMO,COGHLAN,45
201301,ARBOLADO,RECLAMO,COLEGIALES,32
201301,ARBOLADO,RECLAMO,CONSTITUCION,6
201301,ARBOLADO,RECLAMO,FLORES,94
201301,ARBOLADO,RECLAMO,FLORESTA,27
201301,ARBOLADO,RECLAMO,LINIERS,46
201301,ARBOLADO,RECLAMO,MATADEROS,110
201301,ARBOLADO,RECLAMO,MONSERRAT,6
201301,ARBOLADO,RECLAMO,MONTE CASTRO,38
201301,ARBOLADO,RECLAMO,NUÑEZ,53
201301,ARBOLADO,RECLAMO,NUEVA POMPEYA,70
201301,ARBOLADO,RECLAMO,PALERMO,92
201301,ARBOLADO,RECLAMO,PARQUE AVELLANEDA,43
201301,ARBOLADO,RECLAMO,PARQUE CHACABUCO,48
201301,ARBOLADO,RECLAMO,PARQUE CHAS,14
201301,ARBOLADO,RECLAMO,PARQUE PATRICIOS,43
201301,ARBOLADO,RECLAMO,PATERNAL,55
201301,ARBOLADO,RECLAMO,RECOLETA,24
201301,ARBOLADO,RECLAMO,RETIRO,5
201301,ARBOLADO,RECLAMO,SAAVEDRA,63
201301,ARBOLADO,RECLAMO,SAN CRISTOBAL,24
201301,ARBOLADO,RECLAMO,SAN NICOLAS,5
201301,ARBOLADO,RECLAMO,SAN TELMO,3
201301,ARBOLADO,RECLAMO,VELEZ SARSFIELD,33
201301,ARBOLADO,RECLAMO,VERSALLES,26
201301,ARBOLADO,RECLAMO,VILLA CRESPO,61
201301,ARBOLADO,RECLAMO,VILLA DEL PARQUE,56
201301,ARBOLADO,RECLAMO,VILLA DEVOTO,59
201301,ARBOLADO,RECLAMO,VILLA GRAL. MITRE,43
201301,ARBOLADO,RECLAMO,VILLA LUGANO,60
201301,ARBOLADO,RECLAMO,VILLA LURO,27
201301,ARBOLADO,RECLAMO,VILLA ORTUZAR,29
201301,ARBOLADO,RECLAMO,VILLA PUEYRREDON,49
201301,ARBOLADO,RECLAMO,VILLA REAL,16
201301,ARBOLADO,RECLAMO,VILLA RIACHUELO,9
201301,ARBOLADO,RECLAMO,VILLA SANTA RITA,47
201301,ARBOLADO,RECLAMO,VILLA SOLDATI,20
201301,ARBOLADO,RECLAMO,VILLA URQUIZA,80
201301,ARBOLADO,SOLICITUD,AGRONOMIA,14
201301,ARBOLADO,SOLICITUD,ALMAGRO,62
201301,ARBOLADO,SOLICITUD,BALVANERA,32
201301,ARBOLADO,SOLICITUD,BARRACAS,35
201301,ARBOLADO,SOLICITUD,BELGRANO,52
201301,ARBOLADO,SOLICITUD,BOCA,11
201301,ARBOLADO,SOLICITUD,BOEDO,30
201301,ARBOLADO,SOLICITUD,CABALLITO,77
201301,ARBOLADO,SOLICITUD,CHACARITA,10
201301,ARBOLADO,SOLICITUD,COGHLAN,16
201301,ARBOLADO,SOLICITUD,COLEGIALES,21
201301,ARBOLADO,SOLICITUD,CONSTITUCION,5
201301,ARBOLADO,SOLICITUD,FLORES,69
201301,ARBOLADO,SOLICITUD,FLORESTA,17
201301,ARBOLADO,SOLICITUD,LINIERS,29
201301,ARBOLADO,SOLICITUD,MATADEROS,58
201301,ARBOLADO,SOLICITUD,MONSERRAT,5
201301,ARBOLADO,SOLICITUD,MONTE CASTRO,26
201301,ARBOLADO,SOLICITUD,NUÑEZ,23
201301,ARBOLADO,SOLICITUD,NUEVA POMPEYA,51
201301,ARBOLADO,SOLICITUD,PALERMO,66
201301,ARBOLADO,SOLICITUD,PARQUE AVELLANEDA,44
201301,ARBOLADO,SOLICITUD,PARQUE CHACABUCO,42
201301,ARBOLADO,SOLICITUD,PARQUE CHAS,16
201301,ARBOLADO,SOLICITUD,PARQUE PATRICIOS,18
201301,ARBOLADO,SOLICITUD,PATERNAL,15
201301,ARBOLADO,SOLICITUD,RECOLETA,22
201301,ARBOLADO,SOLICITUD,RETIRO,4
201301,ARBOLADO,SOLICITUD,SAAVEDRA,38
201301,ARBOLADO,SOLICITUD,SAN CRISTOBAL,19
201301,ARBOLADO,SOLICITUD,SAN NICOLAS,3
201301,ARBOLADO,SOLICITUD,SAN TELMO,4
201301,ARBOLADO,SOLICITUD,VELEZ SARSFIELD,22
201301,ARBOLADO,SOLICITUD,VERSALLES,19
201301,ARBOLADO,SOLICITUD,VILLA CRESPO,46
201301,ARBOLADO,SOLICITUD,VILLA DEL PARQUE,46
201301,ARBOLADO,SOLICITUD,VILLA DEVOTO,70
201301,ARBOLADO,SOLICITUD,VILLA GRAL. MITRE,19
201301,ARBOLADO,SOLICITUD,VILLA LUGANO,40
201301,ARBOLADO,SOLICITUD,VILLA LURO,16
201301,ARBOLADO,SOLICITUD,VILLA ORTUZAR,23
201301,ARBOLADO,SOLICITUD,VILLA PUEYRREDON,46
201301,ARBOLADO,SOLICITUD,VILLA REAL,16
201301,ARBOLADO,SOLICITUD,VILLA RIACHUELO,12
201301,ARBOLADO,SOLICITUD,VILLA SANTA RITA,33
201301,ARBOLADO,SOLICITUD,VILLA SOLDATI,22
201301,ARBOLADO,SOLICITUD,VILLA URQUIZA,71
201301,ATENCION SOCIAL,RECLAMO,AGRONOMIA,1
201301,ATENCION SOCIAL,RECLAMO,ALMAGRO,76
201301,ATENCION SOCIAL,RECLAMO,BALVANERA,140
201301,ATENCION SOCIAL,RECLAMO,BARRACAS,62
201301,ATENCION SOCIAL,RECLAMO,BELGRANO,54
201301,ATENCION SOCIAL,RECLAMO,BOCA,54
201301,ATENCION SOCIAL,RECLAMO,BOEDO,29
201301,ATENCION SOCIAL,RECLAMO,CABALLITO,59
201301,ATENCION SOCIAL,RECLAMO,CHACARITA,13
201301,ATENCION SOCIAL,RECLAMO,COGHLAN,5
201301,ATENCION SOCIAL,RECLAMO,COLEGIALES,16
201301,ATENCION SOCIAL,RECLAMO,CONSTITUCION,114
201301,ATENCION SOCIAL,RECLAMO,ERRORNOHAYRESULTADOS,2
201301,ATENCION SOCIAL,RECLAMO,FLORES,86
201301,ATENCION SOCIAL,RECLAMO,FLORESTA,15
201301,ATENCION SOCIAL,RECLAMO,LINIERS,11
201301,ATENCION SOCIAL,RECLAMO,MATADEROS,16
201301,ATENCION SOCIAL,RECLAMO,MONSERRAT,78
201301,ATENCION SOCIAL,RECLAMO,MONTE CASTRO,8
201301,ATENCION SOCIAL,RECLAMO,NUÑEZ,8
201301,ATENCION SOCIAL,RECLAMO,NUEVA POMPEYA,28
201301,ATENCION SOCIAL,RECLAMO,PALERMO,128
201301,ATENCION SOCIAL,RECLAMO,PARQUE AVELLANEDA,10
201301,ATENCION SOCIAL,RECLAMO,PARQUE CHACABUCO,28
201301,ATENCION SOCIAL,RECLAMO,PARQUE PATRICIOS,61
201301,ATENCION SOCIAL,RECLAMO,PATERNAL,10
201301,ATENCION SOCIAL,RECLAMO,PUERTO MADERO,4
201301,ATENCION SOCIAL,RECLAMO,RECOLETA,106
201301,ATENCION SOCIAL,RECLAMO,RETIRO,152
201301,ATENCION SOCIAL,RECLAMO,SAAVEDRA,20
201301,ATENCION SOCIAL,RECLAMO,SAN CRISTOBAL,36
201301,ATENCION SOCIAL,RECLAMO,SAN NICOLAS,127
201301,ATENCION SOCIAL,RECLAMO,SAN TELMO,65
201301,ATENCION SOCIAL,RECLAMO,VELEZ SARSFIELD,5
201301,ATENCION SOCIAL,RECLAMO,VERSALLES,1
201301,ATENCION SOCIAL,RECLAMO,VILLA CRESPO,18
201301,ATENCION SOCIAL,RECLAMO,VILLA DEL PARQUE,4
201301,ATENCION SOCIAL,RECLAMO,VILLA DEVOTO,12
201301,ATENCION SOCIAL,RECLAMO,VILLA GRAL. MITRE,5
201301,ATENCION SOCIAL,RECLAMO,VILLA LUGANO,8
201301,ATENCION SOCIAL,RECLAMO,VILLA LURO,4
201301,ATENCION SOCIAL,RECLAMO,VILLA ORTUZAR,2
201301,ATENCION SOCIAL,RECLAMO,VILLA PUEYRREDON,1
201301,ATENCION SOCIAL,RECLAMO,VILLA RIACHUELO,1
201301,ATENCION SOCIAL,RECLAMO,VILLA SANTA RITA,1
201301,ATENCION SOCIAL,RECLAMO,VILLA SOLDATI,3
201301,ATENCION SOCIAL,RECLAMO,VILLA URQUIZA,11
201301,AUTORSERVICIO,DENUNCIA,ALMAGRO,1
201301,AUTORSERVICIO,DENUNCIA,BARRACAS,1
201301,AUTORSERVICIO,DENUNCIA,BELGRANO,1
201301,AUTORSERVICIO,DENUNCIA,CABALLITO,1
201301,AUTORSERVICIO,DENUNCIA,CONSTITUCION,1
201301,AUTORSERVICIO,DENUNCIA,PARQUE AVELLANEDA,1
201301,AUTORSERVICIO,DENUNCIA,PARQUE PATRICIOS,1
201301,AUTORSERVICIO,DENUNCIA,RECOLETA,1
201301,AUTORSERVICIO,DENUNCIA,SAAVEDRA,1
201301,AUTORSERVICIO,DENUNCIA,SAN NICOLAS,1
201301,AUTORSERVICIO,DENUNCIA,VILLA DEVOTO,5
201301,AUTORSERVICIO,DENUNCIA,VILLA URQUIZA,2
201301,BANCO / CAJEROS / ENTIDADES FINANCIERAS,DENUNCIA,CONSTITUCION,1
201301,BANCO / CAJEROS / ENTIDADES FINANCIERAS,DENUNCIA,MONSERRAT,1
201301,BANCO / CAJEROS / ENTIDADES FINANCIERAS,DENUNCIA,VILLA LUGANO,1
201301,BANCO / CAJEROS / ENTIDADES FINANCIERAS,DENUNCIA,VILLA URQUIZA,1
201301,CAFE / BAR,DENUNCIA,ALMAGRO,6
201301,CAFE / BAR,DENUNCIA,BELGRANO,1
201301,CAFE / BAR,DENUNCIA,BOEDO,2
201301,CAFE / BAR,DENUNCIA,LINIERS,1
201301,CAFE / BAR,DENUNCIA,MONSERRAT,5
201301,CAFE / BAR,DENUNCIA,PALERMO,7
201301,CAFE / BAR,DENUNCIA,PARQUE AVELLANEDA,1
201301,CAFE / BAR,DENUNCIA,PARQUE PATRICIOS,1
201301,CAFE / BAR,DENUNCIA,PUERTO MADERO,1
201301,CAFE / BAR,DENUNCIA,RECOLETA,2
201301,CAFE / BAR,DENUNCIA,SAN NICOLAS,4
201301,CAFE / BAR,DENUNCIA,SAN TELMO,2
201301,CAFE / BAR,DENUNCIA,VILLA DEVOTO,1
201301,CAFE / BAR,DENUNCIA,VILLA ORTUZAR,1
201301,CAFE / BAR,DENUNCIA,VILLA SANTA RITA,1
201301,CARNICERIA / PESCADERIA / POLLERIA,DENUNCIA,BELGRANO,1
201301,CARNICERIA / PESCADERIA / POLLERIA,DENUNCIA,CABALLITO,2
201301,CARNICERIA / PESCADERIA / POLLERIA,DENUNCIA,FLORES,2
201301,CARNICERIA / PESCADERIA / POLLERIA,DENUNCIA,MATADEROS,1
201301,CARNICERIA / PESCADERIA / POLLERIA,DENUNCIA,NUEVA POMPEYA,1
201301,CARNICERIA / PESCADERIA / POLLERIA,DENUNCIA,PARQUE AVELLANEDA,1
201301,CARNICERIA / PESCADERIA / POLLERIA,DENUNCIA,PARQUE PATRICIOS,2
201301,CARNICERIA / PESCADERIA / POLLERIA,DENUNCIA,RECOLETA,2
201301,CARNICERIA / PESCADERIA / POLLERIA,DENUNCIA,SAN CRISTOBAL,1
201301,CARNICERIA / PESCADERIA / POLLERIA,DENUNCIA,VILLA CRESPO,1
201301,CARNICERIA / PESCADERIA / POLLERIA,DENUNCIA,VILLA DEL PARQUE,2
201301,CARNICERIA / PESCADERIA / POLLERIA,DENUNCIA,VILLA DEVOTO,2
201301,CASA DE COMIDAS,DENUNCIA,ALMAGRO,1
201301,CASA DE COMIDAS,DENUNCIA,BALVANERA,12
201301,CASA DE COMIDAS,DENUNCIA,BARRACAS,3
201301,CASA DE COMIDAS,DENUNCIA,BELGRANO,7
201301,CASA DE COMIDAS,DENUNCIA,BOCA,1
201301,CASA DE COMIDAS,DENUNCIA,BOEDO,2
201301,CASA DE COMIDAS,DENUNCIA,CABALLITO,6
201301,CASA DE COMIDAS,DENUNCIA,COLEGIALES,1
201301,CASA DE COMIDAS,DENUNCIA,CONSTITUCION,3
201301,CASA DE COMIDAS,DENUNCIA,FLORES,1
201301,CASA DE COMIDAS,DENUNCIA,LINIERS,1
201301,CASA DE COMIDAS,DENUNCIA,MONSERRAT,1
201301,CASA DE COMIDAS,DENUNCIA,MONTE CASTRO,1
201301,CASA DE COMIDAS,DENUNCIA,NUEVA POMPEYA,3
201301,CASA DE COMIDAS,DENUNCIA,PALERMO,8
201301,CASA DE COMIDAS,DENUNCIA,PARQUE CHACABUCO,2
201301,CASA DE COMIDAS,DENUNCIA,PARQUE PATRICIOS,3
201301,CASA DE COMIDAS,DENUNCIA,PUERTO MADERO,1
201301,CASA DE COMIDAS,DENUNCIA,RECOLETA,3
201301,CASA DE COMIDAS,DENUNCIA,SAN CRISTOBAL,1
201301,CASA DE COMIDAS,DENUNCIA,SAN NICOLAS,6
201301,CASA DE COMIDAS,DENUNCIA,VELEZ SARSFIELD,1
201301,CASA DE COMIDAS,DENUNCIA,VILLA CRESPO,5
201301,CASA DE COMIDAS,DENUNCIA,VILLA DEL PARQUE,1
201301,CASA DE COMIDAS,DENUNCIA,VILLA DEVOTO,2
201301,CASA DE COMIDAS,DENUNCIA,VILLA GRAL. MITRE,1
201301,CASA DE COMIDAS,DENUNCIA,VILLA LUGANO,1
201301,CASA DE COMIDAS,DENUNCIA,VILLA LURO,1
201301,CASA DE COMIDAS,DENUNCIA,VILLA ORTUZAR,1
201301,CASA DE COMIDAS,DENUNCIA,VILLA PUEYRREDON,2
201301,CASA DE COMIDAS,DENUNCIA,VILLA SANTA RITA,4
201301,CASA DE COMIDAS,DENUNCIA,VILLA URQUIZA,1
201301,CEMENTERIOS,QUEJA,CHACARITA,1
201301,CEMENTERIOS,RECLAMO,CHACARITA,1
201301,CEMENTERIOS,RECLAMO,FLORES,1
201301,CENTRO DE EXPOSICIONES / MUSEO PRIVADO,DENUNCIA,PALERMO,1
201301,CENTRO DE REPOSO / CONVALECENCIA / REHABILITACION,DENUNCIA,ALMAGRO,1
201301,CENTRO DE REPOSO / CONVALECENCIA / REHABILITACION,DENUNCIA,VILLA SOLDATI,1
201301,CIBER,DENUNCIA,BALVANERA,2
201301,CIBER,DENUNCIA,NUEVA POMPEYA,2
201301,CINE,DENUNCIA,RECOLETA,1
201301,CINE,DENUNCIA,SAAVEDRA,1
201301,CLUBES Y POLIDEPORTIVOS,DENUNCIA,CABALLITO,1
201301,CLUBES Y POLIDEPORTIVOS,DENUNCIA,NUEVA POMPEYA,1
201301,CLUBES Y POLIDEPORTIVOS,DENUNCIA,PARQUE CHAS,1
201301,CLUBES Y POLIDEPORTIVOS,DENUNCIA,RECOLETA,2
201301,COLECTIVO,RECLAMO,ALMAGRO,1
201301,COLECTIVO,RECLAMO,BALVANERA,2
201301,COLECTIVO,RECLAMO,BARRACAS,1
201301,COLECTIVO,RECLAMO,BOCA,1
201301,COLECTIVO,RECLAMO,CABALLITO,4
201301,COLECTIVO,RECLAMO,CHACARITA,2
201301,COLECTIVO,RECLAMO,COLEGIALES,2
201301,COLECTIVO,RECLAMO,FLORES,1
201301,COLECTIVO,RECLAMO,MONSERRAT,2
201301,COLECTIVO,RECLAMO,NUEVA POMPEYA,3
201301,COLECTIVO,RECLAMO,PALERMO,3
201301,COLECTIVO,RECLAMO,RECOLETA,3
201301,COLECTIVO,RECLAMO,RETIRO,1
201301,COLECTIVO,RECLAMO,SAN NICOLAS,1
201301,COLECTIVO,RECLAMO,VILLA LUGANO,3
201301,COLECTIVO,RECLAMO,VILLA SOLDATI,1
201301,COLECTIVO,RECLAMO,VILLA URQUIZA,2
201301,COLECTIVO,SOLICITUD,CABALLITO,1
201301,COLECTIVO,SOLICITUD,COLEGIALES,4
201301,COLECTIVO,SOLICITUD,MONSERRAT,1
201301,COLECTIVO,SOLICITUD,NUÑEZ,1
201301,COLECTIVO,SOLICITUD,NUEVA POMPEYA,1
201301,COLECTIVO,SOLICITUD,PALERMO,1
201301,COLECTIVO,SOLICITUD,SAN CRISTOBAL,1
