PERIODO,RUBRO,TIPO_PRESTACION,BARRIO,total,COMUNA
201301,ALUMBRADO,SOLICITUD,VILLA SOLDATI,3,8
201301,ALUMBRADO,SOLICITUD,VILLA URQUIZA,7,12
201301,ANGARES / GUARDA DE EMBARCACIONES,DENUNCIA,SAN NICOLAS,1,1
201301,ARBOLADO,RECLAMO,AGRONOMIA,11,15
201301,ARBOLADO,RECLAMO,ALMAGRO,58,5
201301,ARBOLADO,RECLAMO,BALVANERA,30,3
201301,ARBOLADO,RECLAMO,BARRACAS,32,4
201301,ARBOLADO,RECLAMO,BELGRANO,50,13
201301,ARBOLADO,RECLAMO,BOCA,10,4
201301,ARBOLADO,RECLAMO,BOEDO,46,5
201301,ARBOLADO,RECLAMO,CABALLITO,128,6
201301,ARBOLADO,RECLAMO,CHACARITA,29,15
201301,ARBOLADO,RECLAMO,COGHLAN,45,12
201301,ARBOLADO,RECLAMO,COLEGIALES,32,13
201301,ARBOLADO,RECLAMO,CONSTITUCION,6,1
201301,ARBOLADO,RECLAMO,FLORES,94,7
201301,ARBOLADO,RECLAMO,FLORESTA,27,10
201301,ARBOLADO,RECLAMO,LINIERS,46,9
201301,ARBOLADO,RECLAMO,MATADEROS,110,9
201301,ARBOLADO,RECLAMO,MONSERRAT,6,1
201301,ARBOLADO,RECLAMO,MONTE CASTRO,38,10
201301,ARBOLADO,RECLAMO,NUÑEZ,53,13
201301,ARBOLADO,RECLAMO,NUEVA POMPEYA,70,4
201301,ARBOLADO,RECLAMO,PALERMO,92,14
201301,ARBOLADO,RECLAMO,PARQUE AVELLANEDA,43,9
201301,ARBOLADO,RECLAMO,PARQUE CHACABUCO,48,7
201301,ARBOLADO,RECLAMO,PARQUE CHAS,14,15
201301,ARBOLADO,RECLAMO,PARQUE PATRICIOS,43,4
201301,ARBOLADO,RECLAMO,PATERNAL,55,15
201301,ARBOLADO,RECLAMO,RECOLETA,24,2
201301,ARBOLADO,RECLAMO,RETIRO,5,1
201301,ARBOLADO,RECLAMO,SAAVEDRA,63,12
201301,ARBOLADO,RECLAMO,SAN CRISTOBAL,24,3
201301,ARBOLADO,RECLAMO,SAN NICOLAS,5,1
201301,ARBOLADO,RECLAMO,SAN TELMO,3,1
201301,ARBOLADO,RECLAMO,VELEZ SARSFIELD,33,10
201301,ARBOLADO,RECLAMO,VERSALLES,26,10
201301,ARBOLADO,RECLAMO,VILLA CRESPO,61,15
201301,ARBOLADO,RECLAMO,VILLA DEL PARQUE,56,11
201301,ARBOLADO,RECLAMO,VILLA DEVOTO,59,11
201301,ARBOLADO,RECLAMO,VILLA GRAL. MITRE,43,11
201301,ARBOLADO,RECLAMO,VILLA LUGANO,60,8
201301,ARBOLADO,RECLAMO,VILLA LURO,27,10
201301,ARBOLADO,RECLAMO,VILLA ORTUZAR,29,15
201301,ARBOLADO,RECLAMO,VILLA PUEYRREDON,49,12
201301,ARBOLADO,RECLAMO,VILLA REAL,16,10
201301,ARBOLADO,RECLAMO,VILLA RIACHUELO,9,8
201301,ARBOLADO,RECLAMO,VILLA SANTA RITA,47,11
201301,ARBOLADO,RECLAMO,VILLA SOLDATI,20,8
201301,ARBOLADO,RECLAMO,VILLA URQUIZA,80,12
201301,ARBOLADO,SOLICITUD,AGRONOMIA,14,15
201301,ARBOLADO,SOLICITUD,ALMAGRO,62,5
201301,ARBOLADO,SOLICITUD,BALVANERA,32,3
201301,ARBOLADO,SOLICITUD,BARRACAS,35,4
201301,ARBOLADO,SOLICITUD,BELGRANO,52,13
201301,ARBOLADO,SOLICITUD,BOCA,11,4
201301,ARBOLADO,SOLICITUD,BOEDO,30,5
201301,ARBOLADO,SOLICITUD,CABALLITO,77,6
201301,ARBOLADO,SOLICITUD,CHACARITA,10,15
201301,ARBOLADO,SOLICITUD,COGHLAN,16,12
201301,ARBOLADO,SOLICITUD,COLEGIALES,21,13
201301,ARBOLADO,SOLICITUD,CONSTITUCION,5,1
201301,ARBOLADO,SOLICITUD,FLORES,69,7
201301,ARBOLADO,SOLICITUD,FLORESTA,17,10
201301,ARBOLADO,SOLICITUD,LINIERS,29,9
201301,ARBOLADO,SOLICITUD,MATADEROS,58,9
201301,ARBOLADO,SOLICITUD,MONSERRAT,5,1
201301,ARBOLADO,SOLICITUD,MONTE CASTRO,26,10
201301,ARBOLADO,SOLICITUD,NUÑEZ,23,13
201301,ARBOLADO,SOLICITUD,NUEVA POMPEYA,51,4
201301,ARBOLADO,SOLICITUD,PALERMO,66,14
201301,ARBOLADO,SOLICITUD,PARQUE AVELLANEDA,44,9
201301,ARBOLADO,SOLICITUD,PARQUE CHACABUCO,42,7
201301,ARBOLADO,SOLICITUD,PARQUE CHAS,16,15
201301,ARBOLADO,SOLICITUD,PARQUE PATRICIOS,18,4
201301,ARBOLADO,SOLICITUD,PATERNAL,15,15
201301,ARBOLADO,SOLICITUD,RECOLETA,22,2
201301,ARBOLADO,SOLICITUD,RETIRO,4,1
201301,ARBOLADO,SOLICITUD,SAAVEDRA,38,12
201301,ARBOLADO,SOLICITUD,SAN CRISTOBAL,19,3
201301,ARBOLADO,SOLICITUD,SAN NICOLAS,3,1
201301,ARBOLADO,SOLICITUD,SAN TELMO,4,1
201301,ARBOLADO,SOLICITUD,VELEZ SARSFIELD,22,10
201301,ARBOLADO,SOLICITUD,VERSALLES,19,10
201301,ARBOLADO,SOLICITUD,VILLA CRESPO,46,15
201301,ARBOLADO,SOLICITUD,VILLA DEL PARQUE,46,11
201301,ARBOLADO,SOLICITUD,VILLA DEVOTO,70,11
201301,ARBOLADO,SOLICITUD,VILLA GRAL. MITRE,19,11
201301,ARBOLADO,SOLICITUD,VILLA LUGANO,40,8
201301,ARBOLADO,SOLICITUD,VILLA LURO,16,10
201301,ARBOLADO,SOLICITUD,VILLA ORTUZAR,23,15
201301,ARBOLADO,SOLICITUD,VILLA PUEYRREDON,46,12
201301,ARBOLADO,SOLICITUD,VILLA REAL,16,10
201301,ARBOLADO,SOLICITUD,VILLA RIACHUELO,12,8
201301,ARBOLADO,SOLICITUD,VILLA SANTA RITA,33,11
201301,ARBOLADO,SOLICITUD,VILLA SOLDATI,22,8
201301,ARBOLADO,SOLICITUD,VILLA URQUIZA,71,12
201301,ATENCION SOCIAL,RECLAMO,AGRONOMIA,1,15
201301,ATENCION SOCIAL,RECLAMO,ALMAGRO,76,5
201301,ATENCION SOCIAL,RECLAMO,BALVANERA,140,3
201301,ATENCION SOCIAL,RECLAMO,BARRACAS,62,4
201301,ATENCION SOCIAL,RECLAMO,BELGRANO,54,13
201301,ATENCION SOCIAL,RECLAMO,BOCA,54,4
201301,ATENCION SOCIAL,RECLAMO,BOEDO,29,5
201301,ATENCION SOCIAL,RECLAMO,CABALLITO,59,6
201301,ATENCION SOCIAL,RECLAMO,CHACARITA,13,15
201301,ATENCION SOCIAL,RECLAMO,COGHLAN,5,12
201301,ATENCION SOCIAL,RECLAMO,COLEGIALES,16,13
201301,ATENCION SOCIAL,RECLAMO,CONSTITUCION,114,1
201301,ATENCION SOCIAL,RECLAMO,ERRORNOHAYRESULTADOS,2,NA
201301,ATENCION SOCIAL,RECLAMO,FLORES,86,7
201301,ATENCION SOCIAL,RECLAMO,FLORESTA,15,10
201301,ATENCION SOCIAL,RECLAMO,LINIERS,11,9
201301,ATENCION SOCIAL,RECLAMO,MATADEROS,16,9
201301,ATENCION SOCIAL,RECLAMO,MONSERRAT,78,1
201301,ATENCION SOCIAL,RECLAMO,MONTE CASTRO,8,10
201301,ATENCION SOCIAL,RECLAMO,NUÑEZ,8,13
201301,ATENCION SOCIAL,RECLAMO,NUEVA POMPEYA,28,4
201301,ATENCION SOCIAL,RECLAMO,PALERMO,128,14
201301,ATENCION SOCIAL,RECLAMO,PARQUE AVELLANEDA,10,9
201301,ATENCION SOCIAL,RECLAMO,PARQUE CHACABUCO,28,7
201301,ATENCION SOCIAL,RECLAMO,PARQUE PATRICIOS,61,4
201301,ATENCION SOCIAL,RECLAMO,PATERNAL,10,15
201301,ATENCION SOCIAL,RECLAMO,PUERTO MADERO,4,1
201301,ATENCION SOCIAL,RECLAMO,RECOLETA,106,2
201301,ATENCION SOCIAL,RECLAMO,RETIRO,152,1
201301,ATENCION SOCIAL,RECLAMO,SAAVEDRA,20,12
201301,ATENCION SOCIAL,RECLAMO,SAN CRISTOBAL,36,3
201301,ATENCION SOCIAL,RECLAMO,SAN NICOLAS,127,1
201301,ATENCION SOCIAL,RECLAMO,SAN TELMO,65,1
201301,ATENCION SOCIAL,RECLAMO,VELEZ SARSFIELD,5,10
201301,ATENCION SOCIAL,RECLAMO,VERSALLES,1,10
201301,ATENCION SOCIAL,RECLAMO,VILLA CRESPO,18,15
201301,ATENCION SOCIAL,RECLAMO,VILLA DEL PARQUE,4,11
201301,ATENCION SOCIAL,RECLAMO,VILLA DEVOTO,12,11
201301,ATENCION SOCIAL,RECLAMO,VILLA GRAL. MITRE,5,11
201301,ATENCION SOCIAL,RECLAMO,VILLA LUGANO,8,8
201301,ATENCION SOCIAL,RECLAMO,VILLA LURO,4,10
201301,ATENCION SOCIAL,RECLAMO,VILLA ORTUZAR,2,15
201301,ATENCION SOCIAL,RECLAMO,VILLA PUEYRREDON,1,12
201301,ATENCION SOCIAL,RECLAMO,VILLA RIACHUELO,1,8
201301,ATENCION SOCIAL,RECLAMO,VILLA SANTA RITA,1,11
201301,ATENCION SOCIAL,RECLAMO,VILLA SOLDATI,3,8
201301,ATENCION SOCIAL,RECLAMO,VILLA URQUIZA,11,12
201301,AUTORSERVICIO,DENUNCIA,ALMAGRO,1,5
201301,AUTORSERVICIO,DENUNCIA,BARRACAS,1,4
201301,AUTORSERVICIO,DENUNCIA,BELGRANO,1,13
201301,AUTORSERVICIO,DENUNCIA,CABALLITO,1,6
201301,AUTORSERVICIO,DENUNCIA,CONSTITUCION,1,1
201301,AUTORSERVICIO,DENUNCIA,PARQUE AVELLANEDA,1,9
201301,AUTORSERVICIO,DENUNCIA,PARQUE PATRICIOS,1,4
201301,AUTORSERVICIO,DENUNCIA,RECOLETA,1,2
201301,AUTORSERVICIO,DENUNCIA,SAAVEDRA,1,12
201301,AUTORSERVICIO,DENUNCIA,SAN NICOLAS,1,1
201301,AUTORSERVICIO,DENUNCIA,VILLA DEVOTO,5,11
201301,AUTORSERVICIO,DENUNCIA,VILLA URQUIZA,2,12
201301,BANCO / CAJEROS / ENTIDADES FINANCIERAS,DENUNCIA,CONSTITUCION,1,1
201301,BANCO / CAJEROS / ENTIDADES FINANCIERAS,DENUNCIA,MONSERRAT,1,1
201301,BANCO / CAJEROS / ENTIDADES FINANCIERAS,DENUNCIA,VILLA LUGANO,1,8
201301,BANCO / CAJEROS / ENTIDADES FINANCIERAS,DENUNCIA,VILLA URQUIZA,1,12
201301,CAFE / BAR,DENUNCIA,ALMAGRO,6,5
201301,CAFE / BAR,DENUNCIA,BELGRANO,1,13
201301,CAFE / BAR,DENUNCIA,BOEDO,2,5
201301,CAFE / BAR,DENUNCIA,LINIERS,1,9
201301,CAFE / BAR,DENUNCIA,MONSERRAT,5,1
201301,CAFE / BAR,DENUNCIA,PALERMO,7,14
201301,CAFE / BAR,DENUNCIA,PARQUE AVELLANEDA,1,9
201301,CAFE / BAR,DENUNCIA,PARQUE PATRICIOS,1,4
201301,CAFE / BAR,DENUNCIA,PUERTO MADERO,1,1
201301,CAFE / BAR,DENUNCIA,RECOLETA,2,2
201301,CAFE / BAR,DENUNCIA,SAN NICOLAS,4,1
201301,CAFE / BAR,DENUNCIA,SAN TELMO,2,1
201301,CAFE / BAR,DENUNCIA,VILLA DEVOTO,1,11
201301,CAFE / BAR,DENUNCIA,VILLA ORTUZAR,1,15
201301,CAFE / BAR,DENUNCIA,VILLA SANTA RITA,1,11
201301,CARNICERIA / PESCADERIA / POLLERIA,DENUNCIA,BELGRANO,1,13
201301,CARNICERIA / PESCADERIA / POLLERIA,DENUNCIA,CABALLITO,2,6
201301,CARNICERIA / PESCADERIA / POLLERIA,DENUNCIA,FLORES,2,7
201301,CARNICERIA / PESCADERIA / POLLERIA,DENUNCIA,MATADEROS,1,9
201301,CARNICERIA / PESCADERIA / POLLERIA,DENUNCIA,NUEVA POMPEYA,1,4
201301,CARNICERIA / PESCADERIA / POLLERIA,DENUNCIA,PARQUE AVELLANEDA,1,9
201301,CARNICERIA / PESCADERIA / POLLERIA,DENUNCIA,PARQUE PATRICIOS,2,4
201301,CARNICERIA / PESCADERIA / POLLERIA,DENUNCIA,RECOLETA,2,2
201301,CARNICERIA / PESCADERIA / POLLERIA,DENUNCIA,SAN CRISTOBAL,1,3
201301,CARNICERIA / PESCADERIA / POLLERIA,DENUNCIA,VILLA CRESPO,1,15
201301,CARNICERIA / PESCADERIA / POLLERIA,DENUNCIA,VILLA DEL PARQUE,2,11
201301,CARNICERIA / PESCADERIA / POLLERIA,DENUNCIA,VILLA DEVOTO,2,11
201301,CASA DE COMIDAS,DENUNCIA,ALMAGRO,1,5
201301,CASA DE COMIDAS,DENUNCIA,BALVANERA,12,3
201301,CASA DE COMIDAS,DENUNCIA,BARRACAS,3,4
201301,CASA DE COMIDAS,DENUNCIA,BELGRANO,7,13
201301,CASA DE COMIDAS,DENUNCIA,BOCA,1,4
201301,CASA DE COMIDAS,DENUNCIA,BOEDO,2,5
201301,CASA DE COMIDAS,DENUNCIA,CABALLITO,6,6
201301,CASA DE COMIDAS,DENUNCIA,COLEGIALES,1,13
201301,CASA DE COMIDAS,DENUNCIA,CONSTITUCION,3,1
201301,CASA DE COMIDAS,DENUNCIA,FLORES,1,7
201301,CASA DE COMIDAS,DENUNCIA,LINIERS,1,9
201301,CASA DE COMIDAS,DENUNCIA,MONSERRAT,1,1
201301,CASA DE COMIDAS,DENUNCIA,MONTE CASTRO,1,10
201301,CASA DE COMIDAS,DENUNCIA,NUEVA POMPEYA,3,4
201301,CASA DE COMIDAS,DENUNCIA,PALERMO,8,14
201301,CASA DE COMIDAS,DENUNCIA,PARQUE CHACABUCO,2,7
201301,CASA DE COMIDAS,DENUNCIA,PARQUE PATRICIOS,3,4
201301,CASA DE COMIDAS,DENUNCIA,PUERTO MADERO,1,1
201301,CASA DE COMIDAS,DENUNCIA,RECOLETA,3,2
201301,CASA DE COMIDAS,DENUNCIA,SAN CRISTOBAL,1,3
201301,CASA DE COMIDAS,DENUNCIA,SAN NICOLAS,6,1
201301,CASA DE COMIDAS,DENUNCIA,VELEZ SARSFIELD,1,10
201301,CASA DE COMIDAS,DENUNCIA,VILLA CRESPO,5,15
201301,CASA DE COMIDAS,DENUNCIA,VILLA DEL PARQUE,1,11
201301,CASA DE COMIDAS,DENUNCIA,VILLA DEVOTO,2,11
201301,CASA DE COMIDAS,DENUNCIA,VILLA GRAL. MITRE,1,11
201301,CASA DE COMIDAS,DENUNCIA,VILLA LUGANO,1,8
201301,CASA DE COMIDAS,DENUNCIA,VILLA LURO,1,10
201301,CASA DE COMIDAS,DENUNCIA,VILLA ORTUZAR,1,15
201301,CASA DE COMIDAS,DENUNCIA,VILLA PUEYRREDON,2,12
201301,CASA DE COMIDAS,DENUNCIA,VILLA SANTA RITA,4,11
201301,CASA DE COMIDAS,DENUNCIA,VILLA URQUIZA,1,12
201301,CEMENTERIOS,QUEJA,CHACARITA,1,15
201301,CEMENTERIOS,RECLAMO,CHACARITA,1,15
201301,CEMENTERIOS,RECLAMO,FLORES,1,7
201301,CENTRO DE EXPOSICIONES / MUSEO PRIVADO,DENUNCIA,PALERMO,1,14
201301,CENTRO DE REPOSO / CONVALECENCIA / REHABILITACION,DENUNCIA,ALMAGRO,1,5
201301,CENTRO DE REPOSO / CONVALECENCIA / REHABILITACION,DENUNCIA,VILLA SOLDATI,1,8
201301,CIBER,DENUNCIA,BALVANERA,2,3
201301,CIBER,DENUNCIA,NUEVA POMPEYA,2,4
201301,CINE,DENUNCIA,RECOLETA,1,2
201301,CINE,DENUNCIA,SAAVEDRA,1,12
